 Campaign_ID ,Campaign_Name,Start_Date,End_Date,Channel,Impressions,Clicks ,Spend,Conversions,Active,Clicks,Campaign_Tag
CMP-00040,Q4_BlackFriday_CMP-00040,2023-01-06 00:00:00,2023-01-26,Email,70092,2388,4152.44,424.0,0,,EM
CMP-00041,Q4_Summer_CMP-00041,2023-10-02 00:00:00,2023-10-12,Email,4890,172,$205.48,29.0,True,,EM
CMP-00042,Q3_Summer_CMP-00042,2023-06-24 00:00:00,2023-06-29,TikTok,42606,1061,973.67,55.0,Yes,,TI
CMP-00043,Q2_Summer_CMP-00043,21/08/2023,2023-08-29,Instagram,97276,2967,4397.28,546.0,Y,,IN
CMP-00044,Q1_Winter_CMP-00044,2023-05-15 00:00:00,2023-06-01,E-mail,81038,2149,3729.91,116.0,1,81075.0,E-
CMP-00045,Q2_Summer_CMP-00045,2023-09-17 00:00:00,2023-10-03,TikTok,88313,1127,670.24,96.0,False,,TI
CMP-00046,Q4_Launch_CMP-00046,2023-06-02 00:00:00,2023-06-28,Instagram,11627,319,531.19,17.0,True,,IN
CMP-00047,Q4_BlackFriday_CMP-00047,2023-04-12 00:00:00,2023-04-19,Google Ads,9792,136,235.62,13.0,Y,,GO
CMP-00048,Q3_Winter_CMP-00048,2023-10-04 00:00:00,2023-10-18,Email,74969,1964,2341.65,249.0,Yes,,EM
CMP-00049,Q4_Winter_CMP-00049,2023-01-01 00:00:00,2023-01-17,Facebook,44001,1483,2928.86,,False,,FA
CMP-00050,Q3_Summer_CMP-00050,2023-02-27 00:00:00,2023-02-28,Email,77552,2572,4321.12,258.0,True,,INVALID
CMP-00051,Q4_Winter_CMP-00051,2023-06-07 00:00:00,2023-06-17,Google Ads,24897,908,1507.73,141.0,1,,GO
CMP-00052,Q2_Launch_CMP-00052,2023-10-18,2023-11-08,TikTok,69148,954,1547.16,74.0,False,,TI
CMP-00053,Q1_Winter_CMP-00053,2023-09-06 00:00:00,2023-09-12,Facebook,24483,883,640.98,,0,,FA
CMP-00054,Q4_Winter_CMP-00054,2023-09-30 00:00:00,2023-10-11,N/A,49555,1114,$919.99,95.0,No,,XX
CMP-00055,Q1_Launch_CMP-00055,2023-09-01 00:00:00,2023-08-27,Google Ads,18159,471,563.31,33.0,False,,GO
CMP-00056,Q4_BlackFriday_CMP-00056,2023-09-28 00:00:00,2023-10-08,Facebook,81077,3593,$3219.35,279.0,No,,FA
CMP-00057,Q4_Launch_CMP-00057,2023-04-19 00:00:00,2023-05-11,Email,36920,382,428.93,29.0,Y,,EM
CMP-00058,Q2_Summer_CMP-00058,2023-12-20 00:00:00,2024-01-09,TikTok,93067,3121,5719.84,396.0,True,,TI
CMP-00059,Q3_Launch_CMP-00059,2023-12-10 00:00:00,2023-12-24,Facebook,68121,2312,$4014.77,408.0,Y,,FA
CMP-00060,Q2_BlackFriday_CMP-00060,2023-09-22 00:00:00,2023-10-12,Email,70479,1823,2634.34,112.0,Y,,EM
CMP-00061,Q1_Summer_CMP-00061,2023-02-02 00:00:00,2023-02-06,Google Ads,90475,1762,3149.01,274.0,Yes,,GO
CMP-00062,Q1_BlackFriday_CMP-00062,2023-04-28,2023-05-18,Google Ads,20457,396,663.56,58.0,1,,GO
CMP-00063,Q3_Summer_CMP-00063,2023-12-29 00:00:00,2024-01-03,Facebook,67557,3063,3502.47,554.0,False,,FA
CMP-00064,Q2_BlackFriday_CMP-00064,2023-01-17,2023-02-03,Email,78189,2164,1734.66,187.0,True,78213.0,EM
CMP-00065,Q2_Summer_CMP-00065,2023-05-02 00:00:00,2023-05-12,Email,79953,1857,2360.81,218.0,0,,EM
CMP-00066,Q1_Winter_CMP-00066,2023-10-04 00:00:00,2023-10-15,TikTok,53995,1509,2420.95,285.0,1,,TI
CMP-00067,Q1_BlackFriday_CMP-00067,2023-10-20 00:00:00,2023-11-13,Google Ads,41757,1535,1772.36,,1,,GO
CMP-00068,Q2_Winter_CMP-00068,2023-08-31 00:00:00,2023-09-12,Facebook,10692,169,253.53,18.0,True,,FA
CMP-00069,Q1_Winter_CMP-00069,2023-02-19 00:00:00,2023-03-17,Email,46758,1308,839.07,91.0,1,,EM
CMP-00070,Q3_Summer_CMP-00070,2023-07-30 00:00:00,2023-08-22,Email,73409,2460,3990.14,219.0,Yes,,EM
CMP-00071,Q1_Launch_CMP-00071,2023-12-11 00:00:00,2024-01-08,TikTok,72211,3462,5951.42,474.0,1,,TI
CMP-00072,Q1_Summer_CMP-00072,2023-02-01 00:00:00,2023-01-27,Email,66697,1340,$2090.74,,Yes,,EM
CMP-00073,Q3_Summer_CMP-00073,2023-02-25 00:00:00,2023-03-09,Google Ads,38065,927,$1808.48,,False,,GO
CMP-00074,Q3_Summer_CMP-00074,2023-08-18 00:00:00,2023-09-06,E-mail,93093,2343,4076.77,327.0,False,,E-
CMP-00075,Q3_BlackFriday_CMP-00075,2023-08-25 00:00:00,2023-09-10,TikTok,33606,1150,2132.84,152.0,Y,,TI
CMP-00076,Q4_Winter_CMP-00076,2023-08-15 00:00:00,2023-08-18,Email,12534,304,577.71,38.0,Yes,,EM
CMP-00077,Q3_Launch_CMP-00077,20/02/2023,2023-02-21,Google Ads,95663,2998,5102.66,460.0,0,,GO
CMP-00078,Q3_Winter_CMP-00078,2023-10-04 00:00:00,2023-10-19,Email,41397,1708,2581.45,299.0,False,,EM
CMP-00079,Q1_BlackFriday_CMP-00079,2023-05-02 00:00:00,2023-05-14,Gogle,92387,3530,1795.28,347.0,1,,GO
CMP-00080,Q4_Summer_CMP-00080,2023-04-20 00:00:00,2023-05-04,Facebook,2016,56,$67.13,10.0,True,,FA
CMP-00081,Q2_Summer_CMP-00081,2023-03-26 00:00:00,2023-04-03,Email,90789,4046,5489.38,299.0,True,,EM
CMP-00082,Q4_Launch_CMP-00082,2023-05-16 00:00:00,2023-05-23,TikTok,56591,1829,1748.61,138.0,No,,TI
CMP-00083,Q1_BlackFriday_CMP-00083,2023-05-27 00:00:00,2023-06-07,Instagram,90812,2869,$2803.46,258.0,Yes,,IN
CMP-00084,Q2_Winter_CMP-00084,2023-10-12 00:00:00,2023-11-04,Instagram,24247,275,533.98,18.0,0,,IN
CMP-00085,Q4_Summer_CMP-00085,2023-04-08 00:00:00,2023-04-16,Email,25300,1251,2298.8,105.0,Y,,EM
CMP-00086,Q1_Winter_CMP-00086,2023-10-24,2023-11-23,Google Ads,75065,1119,1984.85,73.0,1,,INVALID
CMP-00087,Q2_Winter_CMP-00087,10/06/2023,2023-07-08,Instagram,83798,1612,1787.74,279.0,Yes,,IN
CMP-00088,Q2_BlackFriday_CMP-00088,2023-10-27 00:00:00,2023-11-25,Instagram,10268,123,64.03,8.0,No,,IN
CMP-00089,Q4_Winter_CMP-00089,2023-09-29 00:00:00,2023-10-10,N/A,87807,3125,1938.54,506.0,True,87884.0,XX
CMP-00090,Q3_BlackFriday_CMP-00090,2023-02-11,2023-11-23,Instagram,13185,250,242.07,14.0,Yes,,IN
CMP-00091,Q3_Launch_CMP-00091,2023-02-04 00:00:00,2023-03-06,Instagram,64704,1112,582.26,213.0,1,,IN
CMP-00092,Q1_Launch_CMP-00092,2023-03-03 00:00:00,2023-04-01,Google Ads,87779,1188,$624.56,186.0,0,,GO
CMP-00093,Q2_Winter_CMP-00093,2023-10-24 00:00:00,2023-11-09,Google Ads,40099,566,1061.2,28.0,0,,GO
CMP-00094,Q1_Winter_CMP-00094,2023-08-03 00:00:00,2023-08-29,N/A,9571,319,497.4,52.0,False,,XX
CMP-00095,Q4_Summer_CMP-00095,2023-06-11 00:00:00,2023-06-20,TikTok,39044,1465,1411.43,186.0,1,,TI
CMP-00096,Q1_Winter_CMP-00096,2023-06-10 00:00:00,2023-06-28,Google Ads,52214,1352,945.0,225.0,No,,GO
CMP-00097,Q3_Summer_CMP-00097,2023-12-10 00:00:00,2023-12-21,Email,62228,1816,2301.7,233.0,False,,EM
CMP-00098,Q4_Summer_CMP-00098,07/02/2023,2023-02-26,N/A,49984,1871,950.5,273.0,False,,XX
CMP-00099,Q4_BlackFriday_CMP-00099,2023-11-15 00:00:00,2023-12-11,Instagram,41774,446,850.8,74.0,False,,IN
CMP-00100,Q2_BlackFriday_CMP-00100,2023-02-07 00:00:00,2023-02-18,Tik_Tok,3568,81,$90.9,8.0,Yes,,TI
CMP-00101,Q2_Summer_CMP-00101,2023-03-09 00:00:00,2023-04-01,TikTok,63592,3111,3433.0,156.0,No,,TI
CMP-00102,Q3_BlackFriday_CMP-00102,2023-05-06 00:00:00,2023-05-13,Google Ads,68563,2276,2471.49,403.0,True,,GO
CMP-00103,Q3_Summer_CMP-00103,2023-10-06 00:00:00,2023-11-04,N/A,3695,74,$44.7,7.0,0,,XX
CMP-00104,Q1_Winter_CMP-00104,2023-12-01 00:00:00,2023-12-06,Email,49190,1518,2212.46,188.0,Yes,,EM
CMP-00105,Q4_BlackFriday_CMP-00105,2023-10-11 00:00:00,2023-10-22,TikTok,6258,148,236.73,7.0,True,,TI
CMP-00106,Q4_BlackFriday_CMP-00106,2023-03-10 00:00:00,2023-04-05,Google Ads,88538,2770,4194.3,342.0,0,,GO
CMP-00107,Q4_Winter_CMP-00107,2023-10-11 00:00:00,2023-11-01,Google Ads,40504,608,430.25,120.0,No,,GO
CMP-00108,Q1_Launch_CMP-00108,2023-04-18 00:00:00,2023-05-07,Google Ads,34159,522,714.23,47.0,No,,GO
CMP-00109,Q1_BlackFriday_CMP-00109,2023-11-21 00:00:00,2023-12-21,TikTok,14986,235,318.24,25.0,1,,TI
CMP-00110,Q3_Launch_CMP-00110,2023-05-09 00:00:00,2023-05-17,Instagram,62858,2991,5391.63,457.0,0,,IN
CMP-00111,Q4_Winter_CMP-00111,2023-02-17 00:00:00,2023-03-12,Email,13666,537,573.89,92.0,0,,EM
CMP-00112,Q4_BlackFriday_CMP-00112,23/01/2023,2023-02-11,Email,39660,654,691.43,73.0,No,,EM
CMP-00113,Q3_BlackFriday_CMP-00113,2023-03-08 00:00:00,2023-03-28,Instagram,4561,79,112.8,7.0,0,,IN
CMP-00114,Q1_Launch_CMP-00114,2023-08-15 00:00:00,2023-08-23,Facebook,27854,1092,1582.97,208.0,Y,,FA
CMP-00115,Q4_BlackFriday_CMP-00115,2023-01-05 00:00:00,2023-02-01,Facebok,65505,1064,1280.98,161.0,1,,FA
CMP-00116,Q1_Summer_CMP-00116,2023-12-20 00:00:00,2024-01-16,Facebook,53251,1032,1201.86,70.0,Yes,,FA
CMP-00117,Q2_Summer_CMP-00117,2023-07-09 00:00:00,2023-07-17,TikTok,23662,1148,1424.92,,Yes,,TI
CMP-00118,Q2_Summer_CMP-00118,07/03/2023,2023-03-23,Google Ads,9392,189,338.61,23.0,True,,GO
CMP-00119,Q3_Launch_CMP-00119,2023-07-06 00:00:00,2023-07-25,Facebok,31535,1149,1369.32,95.0,Yes,,FA
CMP-00120,Q2_Launch_CMP-00120,2023-01-21 00:00:00,2023-02-06,Facebook,79603,3912,7471.52,344.0,False,,FA
CMP-00121,Q1_Winter_CMP-00121,2023-05-08 00:00:00,2023-06-06,Email,53256,1329,1669.23,241.0,0,,EM
CMP-00122,Q4_Launch_CMP-00122,2023-10-14 00:00:00,2023-10-15,Instagram,90135,964,1854.54,61.0,Yes,,IN
CMP-00123,Q1_BlackFriday_CMP-00123,2023-11-14 00:00:00,2023-11-25,Facebook,36222,715,$1250.71,112.0,True,,FA
CMP-00124,Q4_Launch_CMP-00124,2023-05-02 00:00:00,2023-05-19,N/A,78373,3388,3535.88,307.0,True,,XX
CMP-00125,Q4_Summer_CMP-00125,2023-04-01,2023-02-02,Email,80575,3592,6449.3,589.0,False,,EM
CMP-00126,Q1_Winter_CMP-00126,2023-06-20 00:00:00,2023-06-24,Email,97354,3966,2637.77,628.0,True,,EM
CMP-00127,Q1_Launch_CMP-00127,2023-12-09 00:00:00,2023-12-22,Instagram,85651,1244,$2348.14,63.0,No,,IN
CMP-00128,Q4_Winter_CMP-00128,2023-05-17 00:00:00,2023-06-11,Instagram,64335,2690,3893.68,,Y,,IN
CMP-00129,Q4_BlackFriday_CMP-00129,2023-07-15 00:00:00,2023-07-20,TikTok,11965,559,325.11,39.0,No,,TI
CMP-00130,Q1_BlackFriday_CMP-00130,2023-04-24 00:00:00,2023-05-14,Facebook,25538,868,$1272.82,156.0,0,,FA
CMP-00131,Q3_Launch_CMP-00131,2023-06-29 00:00:00,2023-07-10,Google Ads,71592,3410,6688.28,616.0,0,,INVALID
CMP-00132,Q2_Launch_CMP-00132,2023-04-27 00:00:00,2023-04-30,Google Ads,99018,4265,2579.05,480.0,0,,GO
CMP-00133,Q1_BlackFriday_CMP-00133,2023-07-24 00:00:00,2023-08-10,Facebook,9110,334,444.9,38.0,1,,FA
CMP-00134,Q4_Summer_CMP-00134,2023-05-23 00:00:00,2023-06-08,Facebook,80309,2657,4308.83,253.0,Yes,,FA
CMP-00135,Q2_Launch_CMP-00135,2023-12-14 00:00:00,2023-12-29,Google Ads,28266,676,$1159.6,,Y,,GO
CMP-00136,Q2_Winter_CMP-00136,2023-01-15 00:00:00,2023-02-04,Google Ads,53992,883,989.61,91.0,Yes,,GO
CMP-00137,Q3_Summer_CMP-00137,2023-04-02 00:00:00,2023-05-01,Google Ads,83948,2870,2313.94,258.0,Y,,GO
CMP-00138,Q4_Summer_CMP-00138,2023-01-20 00:00:00,2023-02-18,Facebook,99806,2268,1278.05,260.0,Yes,,FA
CMP-00139,Q3_Launch_CMP-00139,2023-06-10 00:00:00,2023-07-04,Instagram,7910,353,$483.47,22.0,False,,IN
CMP-00140,Q4_Winter_CMP-00140,2023-03-01 00:00:00,2023-03-10,Instagram,91982,4574,5394.42,,No,92026.0,IN
CMP-00141,Q1_Winter_CMP-00141,11/05/2023,2023-05-14,Facebook,1206,48,92.31,2.0,True,,FA
CMP-00142,Q1_Launch_CMP-00142,12/08/2023,2023-08-27,TikTok,88054,1199,$708.5,175.0,True,,TI
CMP-00143,Q3_BlackFriday_CMP-00143,2023-10-03 00:00:00,2023-10-16,Facebook,88897,1915,2926.3,148.0,No,,FA
CMP-00144,Q2_Summer_CMP-00144,2023-12-10 00:00:00,2024-01-04,Google Ads,24419,350,188.11,29.0,False,24436.0,GO
CMP-00145,Q2_Summer_CMP-00145,2023-12-07 00:00:00,2023-12-14,Facebook,51636,1859,-1407.54,270.0,Y,,FA
CMP-00146,Q3_Launch_CMP-00146,2023-12-06 00:00:00,2024-01-01,Google Ads,51015,2071,2444.54,,No,,GO
CMP-00147,Q1_BlackFriday_CMP-00147,2023-06-03 00:00:00,2023-06-28,Facebook,55268,2599,3072.82,433.0,1,,FA
CMP-00148,Q4_Launch_CMP-00148,2023-06-17 00:00:00,2023-06-26,Instagram,88939,2448,$3741.89,205.0,Y,,IN
CMP-00149,Q2_BlackFriday_CMP-00149,2023-03-07 00:00:00,2023-03-30,Facebook,19141,881,1643.35,67.0,True,,FA
CMP-00150,Q2_Summer_CMP-00150,2023-07-14 00:00:00,2023-07-19,N/A,81356,3670,5352.87,660.0,1,,XX
CMP-00151,Q1_Launch_CMP-00151,2023-11-12 00:00:00,2023-11-24,Google Ads,72910,1654,3192.72,192.0,Yes,,GO
CMP-00152,Q3_BlackFriday_CMP-00152,2023-01-01 00:00:00,2023-01-29,E-mail,57044,2553,4652.65,180.0,1,,E-
CMP-00153,Q2_Winter_CMP-00153,2023-10-24 00:00:00,2023-11-18,TikTok,68214,1707,$2350.11,306.0,Y,,TI
CMP-00154,Q3_Launch_CMP-00154,2023-08-15 00:00:00,2023-08-17,TikTok,34827,761,1332.27,131.0,False,,TI
CMP-00155,Q4_Launch_CMP-00155,2023-08-31 00:00:00,2023-09-16,Facebook,56820,2043,2990.68,403.0,Yes,,INVALID
CMP-00156,Q2_Launch_CMP-00156,2023-03-28 00:00:00,2023-04-05,Facebook,63623,1471,908.84,274.0,Y,,FA
CMP-00157,Q3_Launch_CMP-00157,2023-12-06 00:00:00,2023-12-01,TikTok,82734,2912,4690.79,,Yes,82765.0,TI
CMP-00158,Q1_Winter_CMP-00158,2023-05-01 00:00:00,2023-05-22,Email,76450,2629,1688.77,,1,,INVALID
CMP-00159,Q1_Winter_CMP-00159,2023-04-12,2023-12-05,Google Ads,94426,3072,4273.53,201.0,True,,GO
CMP-00160,Q3_BlackFriday_CMP-00160,2023-09-01 00:00:00,2023-09-12,Google Ads,23299,587,912.17,79.0,Y,,GO
CMP-00161,Q1_Winter_CMP-00161,2023-08-22 00:00:00,2023-09-03,Facebook,44585,1424,854.1,184.0,False,,INVALID
CMP-00162,Q4_Winter_CMP-00162,2023-04-10 00:00:00,2023-05-07,Google Ads,65044,2202,1863.31,261.0,No,,GO
CMP-00163,Q4_BlackFriday_CMP-00163,2023-07-24 00:00:00,2023-08-13,N/A,43557,1386,2596.68,151.0,1,,INVALID
CMP-00164,Q1_Launch_CMP-00164,2023-01-03 00:00:00,2023-01-19,Google Ads,50080,1391,1981.44,159.0,Y,,GO
CMP-00165,Q3_Summer_CMP-00165,2023-02-24 00:00:00,2023-03-14,Instagram,3693,39,33.91,,False,,IN
CMP-00166,Q4_Winter_CMP-00166,2023-12-23,2023-12-28,TikTok,96003,3214,$4936.77,161.0,Y,,TI
CMP-00167,Q4_Summer_CMP-00167,2023-05-08 00:00:00,2023-06-03,Google Ads,96259,1611,2247.61,143.0,1,,GO
CMP-00168,Q1_Winter_CMP-00168,2023-03-10 00:00:00,2023-03-19,Facebook,70163,2505,3137.17,,Y,,FA
CMP-00169,Q2_Launch_CMP-00169,2023-10-14 00:00:00,2023-10-25,Google Ads,26939,1087,$2135.17,172.0,Yes,,GO
CMP-00170,Q2_Launch_CMP-00170,2023-08-15 00:00:00,2023-08-31,TikTok,49925,1498,$2284.72,114.0,1,,TI
CMP-00171,Q2_BlackFriday_CMP-00171,2023-09-16 00:00:00,2023-09-27,N/A,43941,1392,1479.92,183.0,Y,,XX
CMP-00172,Q2_Winter_CMP-00172,2023-08-17 00:00:00,2023-09-06,Facebook,22834,1097,1865.02,172.0,No,,FA
CMP-00173,Q1_BlackFriday_CMP-00173,2023-09-01 00:00:00,2023-09-30,Email,19047,835,1525.44,97.0,True,,EM
CMP-00174,Q3_Summer_CMP-00174,2023-11-23 00:00:00,2023-12-11,TikTok,27105,1262,868.04,68.0,Y,,TI
CMP-00175,Q3_BlackFriday_CMP-00175,2023-09-06 00:00:00,2023-09-13,Email,76766,3266,2615.51,383.0,Yes,,EM
CMP-00176,Q1_Launch_CMP-00176,2023-02-09 00:00:00,2023-03-08,TikTok,16707,239,197.02,22.0,False,,TI
CMP-00177,Q4_Launch_CMP-00177,2023-06-21 00:00:00,2023-07-17,TikTok,22976,366,$562.48,,No,,TI
CMP-00178,Q4_BlackFriday_CMP-00178,2023-03-12 00:00:00,2023-04-02,Facebok,45262,1406,1974.81,96.0,False,,FA
CMP-00179,Q3_Launch_CMP-00179,2023-03-20,2023-03-27,Facebook,24776,491,701.39,72.0,No,,FA
CMP-00180,Q3_Summer_CMP-00180,2023-07-28 00:00:00,2023-08-27,Facebook,31080,903,1725.78,52.0,False,,FA
CMP-00181,Q2_Launch_CMP-00181,2023-02-01 00:00:00,2023-02-21,Instagram,67842,1748,2908.44,,True,,IN
CMP-00182,Q4_BlackFriday_CMP-00182,2023-10-27,2023-11-16,Email,62373,1994,$1379.66,265.0,Yes,,EM
CMP-00183,Q2_Winter_CMP-00183,2023-10-22,2023-10-26,Email,7776,310,$316.59,29.0,1,,EM
CMP-00184,Q4_Launch_CMP-00184,2023-06-30 00:00:00,2023-07-10,Email,93787,3622,$4176.49,428.0,False,,EM
CMP-00185,Q3_Launch_CMP-00185,2023-08-03 00:00:00,2023-08-27,Facebok,56016,1728,1890.33,128.0,No,,FA
CMP-00186,Q3_Summer_CMP-00186,2023-11-05 00:00:00,2023-11-07,Instagram,10474,449,675.28,42.0,Yes,,IN
CMP-00187,Q1_Summer_CMP-00187,2023-05-20,2023-06-13,Facebook,59053,1608,2955.25,230.0,Y,,FA
CMP-00188,Q1_Summer_CMP-00188,2023-06-22 00:00:00,2023-07-21,E-mail,22959,1053,1009.91,100.0,True,,E-
CMP-00189,Q4_Summer_CMP-00189,2023-03-26 00:00:00,2023-04-02,Insta_gram,6530,83,$110.21,15.0,Yes,,IN
CMP-00190,Q4_Summer_CMP-00190,2023-11-15 00:00:00,2023-12-02,Facebook,95856,4618,$7777.24,,Yes,,FA
CMP-00191,Q4_Summer_CMP-00191,2023-10-31,2023-11-26,Facebook,4748,171,192.26,19.0,1,,INVALID
CMP-00192,Q3_Launch_CMP-00192,2023-11-26 00:00:00,2023-12-13,Instagram,98504,2482,$1866.9,138.0,Yes,,IN
CMP-00193,Q2_Winter_CMP-00193,04/04/2023,2023-04-14,Facebook,99098,1772,2148.42,221.0,1,,FA
CMP-00194,Q4_Launch_CMP-00194,2023-07-14 00:00:00,2023-07-22,Facebook,14545,424,247.12,69.0,True,,FA
CMP-00195,Q1_Winter_CMP-00195,2023-06-22 00:00:00,2023-07-18,Email,67199,1194,$2284.81,107.0,True,,EM
CMP-00196,Q4_Summer_CMP-00196,2023-08-04,2023-04-21,Instagram,35766,595,364.28,101.0,Y,,IN
CMP-00197,Q3_Launch_CMP-00197,2023-01-10,2023-10-15,Instagram,74530,2585,2992.62,226.0,1,,IN
CMP-00198,Q4_Launch_CMP-00198,2023-06-29,2023-07-22,TikTok,94557,2924,3786.06,507.0,1,,TI
CMP-00199,Q1_BlackFriday_CMP-00199,30/11/2023,2023-12-27,Email,62087,2285,4519.63,143.0,False,,EM
CMP-00200,Q2_BlackFriday_CMP-00200,2023-01-16 00:00:00,2023-02-13,Google Ads,96839,4569,3422.33,,False,,GO
CMP-00201,Q3_BlackFriday_CMP-00201,2023-01-11 00:00:00,2023-01-06,Instagram,69840,2185,1467.55,272.0,Y,69935.0,IN
CMP-00202,Q3_Launch_CMP-00202,2023-08-31 00:00:00,2023-09-10,Email,55384,1840,944.03,173.0,True,,EM
CMP-00203,Q2_Summer_CMP-00203,2023-04-22 00:00:00,2023-05-01,Facebook,52005,706,$517.75,63.0,0,,FA
CMP-00204,Q4_Summer_CMP-00204,2023-07-08 00:00:00,2023-07-15,Instagram,47576,1841,1492.88,211.0,False,,IN
CMP-00205,Q1_Summer_CMP-00205,2023-02-28 00:00:00,2023-03-05,Instagram,40353,1049,1516.72,209.0,Yes,,IN
